,emotion
5611,sadness
5612,joy
5613,joy
5614,disgust
5615,joy
5616,joy
5617,joy
5618,joy
5619,joy
5620,joy
5621,neutral
5622,joy
5623,neutral
5624,joy
5625,joy
5626,joy
5627,joy
5628,joy
5629,joy
5630,neutral
5631,joy
5632,joy
5633,joy
5634,joy
5635,joy
5636,joy
5637,anger
5638,sadness
5639,joy
5640,joy
5641,neutral
5642,joy
5643,joy
5644,joy
5645,joy
5646,neutral
5647,joy
5648,joy
5649,joy
5650,neutral
5651,sadness
5652,joy
5653,joy
5654,joy
5655,joy
5656,neutral
5657,joy
5658,neutral
5659,joy
5660,joy
5661,disgust
5662,joy
5663,joy
5664,joy
5665,neutral
5666,joy
5667,joy
5668,neutral
5669,joy
5670,joy
5671,joy
5672,joy
5673,joy
5674,neutral
5675,joy
5676,joy
5677,joy
5678,sadness
5679,joy
5680,joy
5681,neutral
5682,joy
5683,joy
5684,joy
5685,joy
5686,joy
5687,joy
5688,joy
5689,joy
5690,joy
5691,neutral
5692,neutral
5693,neutral
5694,joy
5695,joy
5696,neutral
5697,joy
5698,joy
5699,joy
5700,neutral
5701,joy
5702,joy
5703,neutral
5704,joy
5705,joy
5706,joy
5707,joy
5708,joy
5709,neutral
5710,joy
5711,joy
5712,neutral
5713,joy
5714,joy
5715,neutral
5716,joy
5717,joy
5718,joy
5719,joy
5720,joy
5721,joy
5722,joy
5723,joy
5724,joy
5725,joy
5726,joy
5727,neutral
5728,joy
5729,anger
5730,joy
5731,joy
5732,neutral
5733,joy
5734,joy
5735,joy
5736,joy
5737,joy
5738,joy
5739,joy
5740,joy
5741,joy
5742,joy
5743,joy
5744,neutral
5745,joy
5746,joy
5747,joy
5748,joy
5749,joy
5750,joy
5751,joy
5752,joy
5753,joy
5754,joy
5755,neutral
5756,joy
5757,joy
5758,joy
5759,neutral
5760,joy
5761,joy
5762,joy
5763,joy
5764,joy
5765,joy
5766,joy
5767,joy
5768,joy
5769,joy
5770,neutral
5771,joy
5772,joy
5773,joy
5774,neutral
5775,joy
5776,joy
5777,joy
5778,joy
5779,joy
5780,joy
5781,disgust
5782,joy
5783,joy
5784,joy
5785,joy
5786,joy
5787,joy
5788,joy
5789,joy
5790,joy
5791,joy
5792,joy
5793,joy
5794,anger
5795,joy
5796,sadness
5797,neutral
5798,joy
5799,neutral
5800,joy
5801,joy
5802,joy
5803,joy
5804,joy
5805,joy
5806,joy
5807,joy
5808,joy
5809,joy
5810,joy
5811,joy
5812,joy
5813,joy
5814,joy
5815,joy
5816,joy
5817,joy
5818,neutral
5819,joy
5820,joy
5821,joy
5822,joy
5823,neutral
5824,joy
5825,joy
5826,joy
5827,joy
5828,neutral
5829,sadness
5830,joy
5831,joy
5832,joy
5833,neutral
5834,joy
5835,joy
5836,joy
5837,joy
5838,joy
5839,joy
5840,joy
5841,joy
5842,neutral
5843,neutral
5844,joy
5845,joy
5846,joy
5847,sadness
5848,joy
5849,joy
5850,joy
5851,joy
5852,joy
5853,joy
5854,joy
5855,joy
5856,joy
5857,joy
5858,joy
5859,joy
5860,joy
5861,neutral
5862,anger
5863,joy
5864,joy
5865,joy
5866,sadness
5867,neutral
5868,joy
5869,sadness
5870,neutral
5871,neutral
5872,joy
5873,sadness
5874,neutral
5875,joy
5876,neutral
5877,joy
5878,sadness
5879,joy
5880,joy
5881,joy
5882,joy
5883,joy
5884,joy
5885,sadness
5886,joy
5887,joy
5888,joy
5889,joy
5890,joy
5891,joy
5892,joy
5893,neutral
5894,joy
5895,joy
5896,neutral
5897,joy
5898,joy
5899,sadness
5900,joy
5901,joy
5902,joy
5903,neutral
5904,neutral
5905,joy
5906,joy
5907,joy
5908,joy
5909,joy
5910,neutral
5911,joy
5912,joy
5913,neutral
5914,joy
5915,neutral
5916,joy
5917,joy
5918,sadness
5919,neutral
5920,neutral
5921,neutral
5922,neutral
5923,joy
5924,neutral
5925,disgust
5926,joy
5927,joy
5928,joy
5929,joy
5930,joy
5931,neutral
5932,joy
5933,sadness
5934,neutral
5935,joy
5936,joy
5937,neutral
5938,joy
5939,joy
5940,joy
5941,joy
5942,joy
5943,joy
5944,joy
5945,joy
5946,joy
5947,neutral
5948,joy
5949,joy
5950,joy
5951,joy
5952,joy
5953,neutral
5954,joy
5955,joy
5956,joy
5957,joy
5958,joy
5959,joy
5960,joy
5961,neutral
5962,joy
5963,sadness
5964,joy
5965,joy
5966,neutral
5967,joy
5968,joy
5969,neutral
5970,joy
5971,joy
5972,joy
5973,joy
5974,joy
5975,joy
5976,joy
5977,joy
5978,joy
5979,joy
5980,neutral
5981,joy
5982,joy
5983,joy
5984,joy
5985,joy
5986,joy
5987,neutral
5988,joy
5989,joy
5990,joy
5991,joy
5992,joy
5993,joy
5994,joy
5995,joy
5996,joy
5997,joy
5998,neutral
5999,joy
6000,neutral
6001,joy
6002,joy
6003,neutral
6004,joy
6005,joy
6006,joy
6007,joy
6008,joy
6009,joy
6010,joy
6011,joy
6012,joy
6013,joy
6014,joy
6015,joy
6016,joy
6017,joy
6018,joy
6019,joy
6020,joy
6021,joy
6022,joy
6023,joy
6024,joy
6025,joy
6026,joy
6027,joy
6028,joy
6029,joy
6030,neutral
6031,joy
6032,joy
6033,joy
6034,joy
6035,joy
6036,joy
6037,joy
6038,neutral
6039,joy
6040,joy
6041,neutral
6042,joy
6043,joy
6044,fear
6045,joy
6046,joy
6047,joy
6048,anger
6049,joy
6050,joy
6051,joy
6052,joy
6053,joy
6054,neutral
6055,joy
6056,joy
6057,joy
6058,joy
6059,joy
6060,joy
6061,joy
6062,joy
6063,joy
6064,joy
6065,sadness
6066,joy
6067,joy
6068,joy
6069,joy
6070,neutral
6071,joy
6072,joy
6073,joy
6074,joy
6075,neutral
6076,neutral
6077,joy
6078,joy
6079,joy
6080,joy
6081,neutral
6082,joy
6083,neutral
6084,joy
6085,joy
6086,joy
6087,joy
6088,joy
6089,neutral
6090,joy
6091,joy
6092,joy
6093,joy
6094,joy
6095,joy
6096,disgust
6097,joy
6098,joy
6099,sadness
6100,joy
6101,joy
6102,joy
6103,joy
6104,joy
6105,joy
6106,sadness
6107,joy
6108,joy
6109,anger
6110,joy
6111,joy
6112,joy
6113,neutral
6114,joy
6115,joy
6116,joy
6117,neutral
6118,joy
6119,joy
6120,joy
6121,neutral
6122,joy
6123,neutral
6124,joy
6125,joy
6126,neutral
6127,joy
6128,joy
6129,joy
6130,joy
6131,neutral
6132,joy
6133,joy
6134,joy
6135,joy
6136,joy
6137,joy
6138,joy
6139,joy
6140,joy
6141,joy
6142,joy
6143,neutral
6144,joy
6145,joy
6146,joy
6147,joy
6148,neutral
6149,neutral
6150,neutral
6151,joy
6152,joy
6153,joy
6154,joy
6155,joy
6156,joy
6157,joy
6158,joy
6159,joy
6160,neutral
6161,neutral
6162,joy
6163,neutral
6164,joy
6165,joy
6166,joy
6167,joy
6168,joy
6169,neutral
6170,joy
6171,joy
6172,joy
6173,joy
6174,joy
6175,joy
6176,joy
6177,joy
6178,sadness
6179,joy
6180,joy
6181,joy
6182,joy
6183,joy
6184,joy
6185,joy
6186,joy
6187,joy
6188,joy
6189,joy
6190,joy
6191,joy
6192,joy
6193,joy
6194,neutral
6195,joy
6196,joy
6197,joy
6198,joy
6199,joy
6200,joy
6201,joy
6202,neutral
6203,joy
6204,joy
6205,neutral
6206,joy
6207,joy
6208,joy
6209,joy
6210,neutral
6211,neutral
6212,joy
6213,neutral
6214,joy
6215,joy
6216,joy
6217,joy
6218,joy
6219,neutral
6220,joy
6221,joy
6222,joy
6223,neutral
6224,joy
6225,joy
6226,sadness
6227,neutral
6228,neutral
6229,joy
6230,neutral
6231,joy
6232,joy
6233,joy
6234,joy
6235,neutral
6236,joy
6237,joy
6238,joy
6239,joy
6240,anger
6241,joy
6242,neutral
6243,joy
6244,neutral
6245,joy
6246,neutral
6247,joy
6248,joy
6249,joy
6250,neutral
6251,joy
6252,joy
6253,joy
6254,joy
6255,joy
6256,joy
6257,joy
6258,joy
6259,joy
6260,joy
6261,joy
6262,joy
6263,joy
6264,joy
6265,sadness
6266,joy
6267,neutral
6268,neutral
6269,neutral
6270,joy
6271,joy
6272,joy
6273,joy
6274,neutral
6275,joy
6276,joy
6277,joy
6278,joy
6279,joy
6280,joy
6281,joy
6282,anger
6283,neutral
6284,neutral
6285,joy
6286,joy
6287,joy
6288,joy
6289,joy
6290,joy
6291,joy
6292,joy
6293,joy
6294,neutral
6295,neutral
6296,joy
6297,joy
6298,joy
6299,neutral
6300,joy
6301,neutral
6302,disgust
6303,neutral
6304,disgust
6305,neutral
6306,neutral
6307,joy
6308,anger
6309,sadness
6310,joy
6311,neutral
6312,disgust
6313,joy
6314,joy
6315,joy
6316,joy
6317,neutral
6318,joy
6319,joy
6320,joy
6321,joy
6322,joy
6323,joy
6324,joy
6325,joy
6326,joy
6327,neutral
6328,joy
6329,joy
6330,neutral
6331,joy
6332,joy
6333,joy
6334,joy
6335,joy
6336,joy
6337,neutral
6338,joy
6339,neutral
6340,joy
6341,joy
6342,joy
6343,joy
6344,joy
6345,neutral
6346,neutral
6347,neutral
6348,joy
6349,joy
6350,joy
6351,joy
6352,neutral
6353,joy
6354,joy
6355,neutral
6356,joy
6357,joy
6358,joy
6359,neutral
6360,joy
6361,joy
6362,joy
6363,joy
6364,joy
6365,neutral
6366,neutral
6367,neutral
6368,neutral
6369,sadness
6370,joy
6371,joy
6372,sadness
6373,joy
6374,sadness
6375,joy
6376,joy
6377,joy
6378,joy
6379,joy
6380,neutral
6381,neutral
6382,joy
6383,joy
6384,joy
6385,joy
6386,neutral
6387,neutral
6388,joy
6389,joy
6390,joy
6391,joy
6392,joy
6393,sadness
6394,joy
6395,joy
6396,sadness
6397,joy
6398,joy
6399,joy
6400,joy
6401,joy
6402,joy
6403,joy
6404,joy
6405,joy
6406,joy
6407,joy
6408,joy
6409,joy
6410,joy
6411,joy
6412,joy
6413,joy
6414,joy
6415,joy
6416,joy
6417,joy
6418,joy
6419,joy
6420,joy
6421,joy
6422,joy
6423,neutral
6424,joy
6425,joy
6426,neutral
6427,joy
6428,neutral
6429,joy
6430,joy
6431,joy
6432,joy
6433,joy
6434,neutral
6435,neutral
6436,joy
6437,joy
6438,joy
6439,joy
6440,joy
6441,joy
6442,neutral
6443,joy
6444,joy
6445,joy
6446,joy
6447,joy
6448,joy
6449,sadness
6450,neutral
6451,joy
6452,joy
6453,joy
6454,neutral
6455,joy
6456,joy
6457,joy
6458,neutral
6459,joy
6460,neutral
6461,joy
6462,joy
6463,joy
6464,joy
6465,joy
6466,joy
6467,joy
6468,neutral
6469,joy
6470,joy
6471,joy
6472,neutral
6473,joy
6474,neutral
6475,joy
6476,joy
6477,joy
6478,joy
6479,joy
6480,neutral
6481,joy
6482,joy
6483,joy
6484,joy
6485,joy
6486,joy
6487,neutral
6488,neutral
6489,joy
6490,joy
6491,joy
6492,neutral
6493,joy
6494,joy
6495,anger
6496,joy
6497,joy
6498,neutral
6499,neutral
6500,joy
6501,joy
6502,joy
6503,joy
6504,joy
6505,joy
6506,sadness
6507,neutral
6508,joy
6509,joy
6510,joy
6511,neutral
6512,joy
6513,joy
6514,joy
6515,neutral
6516,joy
6517,joy
6518,joy
6519,joy
6520,joy
6521,joy
6522,joy
6523,joy
6524,joy
6525,neutral
6526,joy
6527,joy
6528,joy
6529,joy
6530,joy
6531,joy
6532,joy
6533,neutral
6534,joy
6535,neutral
6536,joy
6537,joy
6538,joy
6539,joy
6540,joy
6541,joy
6542,joy
6543,neutral
6544,joy
6545,sadness
6546,joy
6547,joy
6548,joy
6549,joy
6550,neutral
6551,neutral
6552,fear
6553,joy
6554,joy
6555,neutral
6556,sadness
6557,joy
6558,joy
6559,joy
6560,neutral
6561,neutral
6562,joy
6563,joy
6564,joy
6565,neutral
6566,neutral
6567,fear
6568,joy
6569,joy
6570,joy
6571,joy
6572,joy
6573,joy
6574,joy
6575,sadness
6576,joy
6577,joy
6578,neutral
6579,joy
6580,neutral
6581,joy
6582,joy
6583,joy
6584,joy
6585,sadness
6586,joy
6587,neutral
6588,joy
6589,neutral
6590,joy
6591,neutral
6592,neutral
6593,joy
6594,joy
6595,joy
6596,joy
6597,joy
6598,joy
6599,joy
6600,neutral
6601,joy
6602,joy
6603,joy
6604,joy
6605,joy
6606,joy
6607,neutral
6608,joy
6609,joy
6610,joy
6611,joy
6612,joy
6613,joy
6614,neutral
6615,neutral
6616,joy
6617,joy
6618,joy
6619,joy
6620,joy
6621,joy
6622,joy
6623,joy
6624,joy
6625,neutral
6626,neutral
6627,neutral
6628,joy
6629,joy
6630,joy
6631,neutral
6632,neutral
6633,joy
6634,joy
6635,joy
6636,neutral
6637,joy
6638,neutral
6639,neutral
6640,joy
6641,joy
6642,neutral
6643,joy
6644,joy
6645,joy
6646,sadness
6647,sadness
6648,joy
6649,joy
6650,joy
6651,joy
6652,joy
6653,joy
6654,joy
6655,joy
6656,joy
6657,joy
6658,neutral
6659,neutral
6660,neutral
6661,joy
6662,joy
6663,joy
6664,neutral
6665,neutral
6666,joy
6667,joy
6668,joy
6669,joy
6670,joy
6671,joy
6672,joy
6673,joy
6674,joy
6675,neutral
6676,sadness
6677,joy
6678,joy
6679,joy
6680,disgust
6681,joy
6682,joy
6683,neutral
6684,neutral
6685,sadness
6686,joy
6687,joy
6688,joy
6689,joy
6690,joy
6691,joy
6692,joy
6693,sadness
6694,joy
6695,joy
6696,disgust
6697,joy
6698,joy
6699,joy
6700,joy
6701,joy
6702,joy
6703,joy
6704,joy
6705,neutral
6706,joy
6707,neutral
6708,joy
6709,joy
6710,neutral
6711,joy
6712,joy
6713,joy
6714,joy
6715,sadness
6716,neutral
6717,joy
6718,joy
6719,neutral
6720,joy
6721,joy
6722,joy
6723,joy
6724,joy
6725,neutral
6726,joy
6727,neutral
6728,joy
6729,joy
6730,joy
6731,joy
6732,joy
6733,joy
6734,joy
6735,joy
6736,joy
6737,joy
6738,neutral
6739,anger
6740,joy
6741,joy
6742,joy
6743,joy
6744,joy
6745,joy
6746,joy
6747,joy
6748,joy
6749,joy
6750,joy
6751,joy
6752,joy
6753,anger
6754,neutral
6755,joy
6756,joy
6757,joy
6758,joy
6759,joy
6760,joy
6761,sadness
6762,joy
6763,joy
6764,neutral
6765,neutral
6766,joy
6767,joy
6768,joy
6769,joy
6770,joy
6771,joy
6772,joy
6773,sadness
6774,neutral
6775,neutral
6776,sadness
6777,joy
6778,joy
6779,joy
6780,neutral
6781,sadness
6782,joy
6783,joy
6784,joy
6785,neutral
6786,joy
6787,joy
6788,joy
6789,joy
6790,joy
6791,neutral
6792,joy
6793,joy
6794,joy
6795,neutral
6796,joy
6797,joy
6798,joy
6799,neutral
6800,joy
6801,neutral
6802,joy
6803,sadness
6804,joy
6805,sadness
6806,joy
6807,joy
6808,sadness
6809,joy
6810,joy
6811,joy
6812,joy
6813,joy
6814,joy
6815,joy
6816,joy
6817,joy
6818,neutral
6819,neutral
6820,joy
6821,joy
6822,neutral
6823,joy
6824,joy
6825,joy
6826,joy
6827,joy
6828,joy
6829,joy
6830,joy
6831,joy
6832,neutral
6833,joy
6834,joy
6835,joy
6836,joy
6837,joy
6838,neutral
6839,joy
6840,joy
6841,joy
6842,joy
6843,sadness
6844,joy
6845,joy
6846,joy
6847,joy
6848,joy
6849,joy
6850,joy
6851,joy
6852,joy
6853,joy
6854,joy
6855,joy
6856,neutral
6857,joy
6858,joy
6859,neutral
6860,fear
6861,sadness
6862,neutral
6863,sadness
6864,joy
6865,joy
6866,joy
6867,joy
6868,joy
6869,joy
6870,sadness
6871,neutral
6872,joy
6873,joy
6874,joy
6875,joy
6876,joy
6877,joy
6878,joy
6879,joy
6880,joy
6881,joy
6882,neutral
6883,joy
6884,joy
6885,joy
6886,joy
6887,joy
6888,joy
6889,joy
6890,joy
6891,joy
6892,joy
6893,joy
6894,joy
6895,joy
6896,joy
6897,joy
6898,joy
6899,joy
6900,joy
6901,joy
6902,joy
6903,joy
6904,joy
6905,joy
6906,joy
6907,joy
6908,joy
6909,joy
6910,joy
6911,joy
6912,joy
6913,joy
6914,joy
6915,sadness
6916,sadness
6917,joy
6918,joy
6919,joy
6920,joy
6921,joy
6922,joy
6923,joy
6924,joy
6925,joy
6926,joy
6927,joy
6928,joy
6929,anger
6930,joy
6931,joy
6932,joy
6933,joy
6934,joy
6935,joy
6936,joy
6937,neutral
6938,joy
6939,joy
6940,joy
6941,joy
6942,neutral
6943,joy
6944,joy
6945,joy
6946,sadness
6947,anger
6948,joy
6949,joy
6950,sadness
6951,joy
6952,joy
6953,joy
6954,joy
6955,joy
6956,joy
6957,joy
6958,sadness
6959,neutral
6960,joy
6961,sadness
6962,joy
6963,joy
6964,joy
6965,joy
6966,joy
6967,sadness
6968,sadness
6969,joy
6970,joy
6971,joy
6972,joy
6973,joy
6974,joy
6975,neutral
6976,joy
6977,joy
6978,joy
6979,joy
6980,anger
6981,fear
6982,joy
6983,joy
6984,joy
6985,neutral
6986,joy
6987,joy
6988,joy
6989,joy
6990,joy
6991,joy
6992,joy
6993,joy
6994,joy
6995,joy
6996,joy
6997,joy
6998,joy
6999,neutral
7000,disgust
7001,joy
7002,joy
7003,joy
7004,joy
7005,joy
7006,joy
7007,joy
7008,joy
7009,joy
7010,neutral
7011,joy
7012,joy
7013,joy
7014,joy
7015,joy
7016,joy
7017,joy
7018,joy
7019,joy
7020,joy
7021,joy
7022,sadness
7023,neutral
7024,joy
7025,joy
7026,joy
7027,joy
7028,joy
7029,joy
7030,joy
7031,joy
7032,joy
7033,joy
7034,joy
7035,joy
7036,joy
7037,joy
7038,sadness
7039,joy
7040,neutral
7041,joy
7042,joy
7043,joy
7044,joy
7045,joy
7046,joy
7047,joy
7048,joy
7049,joy
7050,joy
7051,joy
7052,neutral
7053,joy
7054,joy
7055,joy
7056,joy
7057,sadness
7058,joy
7059,joy
7060,joy
7061,joy
7062,neutral
7063,joy
7064,sadness
7065,joy
7066,neutral
7067,joy
7068,neutral
7069,joy
7070,joy
7071,joy
7072,joy
7073,joy
7074,joy
7075,joy
7076,joy
7077,joy
7078,joy
7079,joy
7080,joy
7081,joy
7082,joy
7083,joy
7084,joy
7085,joy
7086,joy
7087,joy
7088,joy
7089,joy
7090,joy
7091,joy
7092,joy
7093,joy
7094,sadness
7095,joy
7096,joy
7097,joy
7098,joy
7099,joy
7100,neutral
7101,joy
7102,joy
7103,joy
7104,joy
7105,joy
7106,joy
7107,joy
7108,joy
7109,neutral
7110,joy
7111,joy
7112,joy
7113,joy
7114,joy
7115,joy
7116,joy
7117,joy
7118,joy
7119,joy
7120,joy
7121,joy
7122,joy
7123,neutral
7124,joy
7125,joy
7126,joy
7127,joy
7128,sadness
7129,joy
7130,neutral
7131,joy
7132,anger
7133,neutral
7134,neutral
7135,joy
7136,joy
7137,joy
7138,joy
7139,joy
7140,joy
7141,anger
7142,joy
7143,joy
7144,joy
7145,joy
7146,joy
7147,joy
7148,joy
7149,joy
7150,joy
7151,joy
7152,joy
7153,joy
7154,joy
7155,neutral
7156,joy
7157,joy
7158,joy
7159,joy
7160,neutral
7161,joy
7162,neutral
7163,joy
7164,joy
7165,joy
7166,joy
7167,joy
7168,joy
7169,joy
7170,sadness
7171,neutral
7172,joy
7173,sadness
7174,sadness
7175,joy
7176,sadness
7177,joy
7178,joy
7179,joy
7180,joy
7181,joy
7182,joy
7183,joy
7184,joy
7185,joy
7186,joy
7187,joy
7188,joy
7189,joy
7190,joy
7191,sadness
7192,joy
7193,joy
7194,joy
7195,neutral
7196,joy
7197,joy
7198,anger
7199,neutral
7200,sadness
7201,joy
7202,joy
7203,joy
7204,neutral
7205,joy
7206,joy
7207,fear
7208,joy
7209,joy
7210,sadness
7211,joy
7212,neutral
7213,neutral
7214,joy
7215,neutral
7216,joy
7217,joy
7218,joy
7219,joy
7220,neutral
7221,joy
7222,joy
7223,joy
7224,neutral
7225,joy
7226,joy
7227,joy
7228,joy
7229,neutral
7230,joy
7231,joy
7232,joy
7233,joy
7234,joy
7235,joy
7236,joy
7237,joy
7238,joy
7239,joy
7240,joy
7241,joy
7242,joy
7243,joy
7244,joy
7245,sadness
7246,joy
7247,joy
7248,joy
7249,joy
7250,joy
7251,neutral
7252,joy
7253,joy
7254,joy
7255,joy
7256,joy
7257,joy
7258,neutral
7259,joy
7260,neutral
7261,joy
7262,joy
7263,joy
7264,neutral
7265,joy
7266,joy
7267,neutral
7268,joy
7269,joy
7270,joy
7271,joy
7272,joy
7273,joy
7274,joy
7275,neutral
7276,joy
7277,joy
7278,joy
7279,joy
7280,joy
7281,joy
7282,joy
7283,joy
7284,joy
7285,joy
7286,sadness
7287,joy
7288,joy
7289,neutral
7290,joy
7291,joy
7292,neutral
7293,joy
7294,sadness
7295,joy
7296,joy
7297,neutral
7298,joy
7299,joy
7300,joy
7301,joy
7302,joy
7303,joy
7304,joy
7305,neutral
7306,joy
7307,joy
7308,joy
7309,sadness
7310,joy
7311,joy
7312,joy
7313,joy
7314,joy
7315,joy
7316,joy
7317,joy
7318,neutral
7319,joy
7320,neutral
7321,joy
7322,joy
7323,joy
7324,joy
7325,neutral
7326,joy
7327,joy
7328,joy
7329,sadness
7330,joy
7331,joy
7332,joy
7333,sadness
7334,joy
7335,joy
7336,joy
7337,joy
7338,joy
7339,joy
7340,joy
7341,joy
7342,sadness
7343,joy
7344,joy
7345,joy
7346,neutral
7347,joy
7348,joy
7349,joy
7350,joy
7351,joy
7352,joy
7353,joy
7354,joy
7355,joy
7356,joy
7357,joy
7358,neutral
7359,joy
7360,joy
7361,neutral
7362,neutral
7363,joy
7364,neutral
7365,joy
7366,sadness
7367,sadness
7368,joy
7369,joy
7370,joy
7371,joy
7372,joy
7373,joy
7374,joy
7375,joy
7376,joy
7377,joy
7378,joy
7379,joy
7380,joy
7381,joy
7382,joy
7383,neutral
7384,joy
7385,joy
7386,joy
7387,joy
7388,joy
7389,joy
7390,joy
7391,joy
7392,joy
7393,joy
7394,joy
7395,joy
7396,sadness
7397,joy
7398,joy
7399,joy
7400,joy
7401,joy
7402,joy
7403,joy
7404,joy
7405,sadness
7406,joy
7407,joy
7408,joy
7409,joy
7410,neutral
7411,joy
7412,sadness
7413,joy
7414,joy
7415,joy
7416,joy
7417,joy
7418,neutral
7419,joy
7420,joy
7421,neutral
7422,anger
7423,joy
7424,joy
7425,joy
7426,joy
7427,joy
7428,joy
7429,neutral
7430,joy
7431,joy
7432,joy
7433,joy
7434,neutral
7435,joy
7436,joy
7437,joy
7438,joy
7439,joy
7440,joy
7441,joy
7442,joy
7443,joy
7444,joy
7445,joy
7446,joy
7447,joy
7448,joy
7449,disgust
7450,joy
7451,neutral
7452,joy
7453,joy
7454,joy
7455,joy
7456,joy
7457,neutral
7458,joy
7459,joy
7460,joy
7461,joy
7462,joy
7463,joy
7464,joy
7465,neutral
7466,joy
7467,joy
7468,joy
7469,joy
7470,joy
7471,joy
7472,joy
7473,neutral
7474,joy
7475,joy
7476,joy
7477,joy
7478,joy
7479,joy
7480,disgust
7481,joy
7482,joy
7483,neutral
7484,joy
7485,joy
7486,joy
7487,neutral
7488,neutral
7489,joy
7490,joy
7491,joy
7492,joy
7493,sadness
7494,joy
7495,joy
7496,sadness
7497,joy
7498,joy
7499,joy
7500,joy
7501,joy
7502,joy
7503,joy
7504,joy
7505,joy
7506,joy
7507,neutral
7508,joy
7509,neutral
7510,neutral
7511,joy
7512,joy
7513,joy
7514,joy
7515,joy
7516,joy
7517,joy
7518,joy
7519,sadness
7520,joy
7521,joy
7522,neutral
7523,joy
7524,joy
7525,joy
7526,joy
7527,joy
7528,joy
7529,joy
7530,neutral
7531,joy
7532,joy
7533,joy
7534,joy
7535,joy
7536,joy
7537,joy
7538,sadness
7539,joy
7540,joy
7541,joy
7542,joy
7543,joy
7544,neutral
7545,joy
7546,joy
7547,joy
7548,joy
7549,joy
7550,joy
7551,neutral
7552,joy
7553,joy
7554,joy
7555,joy
7556,joy
7557,joy
7558,joy
7559,joy
7560,joy
7561,joy
7562,joy
7563,joy
7564,neutral
7565,joy
7566,joy
7567,neutral
7568,neutral
7569,joy
7570,neutral
7571,anger
7572,joy
7573,joy
7574,neutral
7575,neutral
7576,joy
7577,neutral
7578,joy
7579,joy
7580,neutral
7581,neutral
7582,joy
7583,joy
7584,joy
7585,joy
7586,joy
7587,joy
7588,joy
7589,joy
7590,joy
7591,joy
7592,joy
7593,joy
7594,joy
7595,joy
7596,joy
7597,joy
7598,joy
7599,joy
7600,sadness
7601,joy
7602,neutral
7603,joy
7604,joy
7605,neutral
7606,joy
7607,joy
7608,joy
7609,joy
7610,joy
7611,joy
7612,joy
7613,joy
7614,joy
7615,joy
7616,joy
7617,joy
7618,joy
7619,joy
7620,neutral
7621,joy
7622,joy
7623,neutral
7624,joy
7625,sadness
7626,sadness
7627,joy
7628,joy
7629,joy
7630,sadness
7631,neutral
7632,disgust
7633,joy
7634,joy
7635,neutral
7636,joy
7637,joy
7638,joy
7639,joy
7640,joy
7641,sadness
7642,joy
7643,neutral
7644,neutral
7645,joy
7646,anger
7647,joy
7648,joy
7649,joy
7650,joy
7651,joy
7652,joy
7653,joy
7654,joy
7655,neutral
7656,joy
7657,neutral
7658,neutral
7659,joy
7660,joy
7661,sadness
7662,joy
7663,joy
7664,neutral
7665,joy
7666,joy
7667,joy
7668,joy
7669,joy
7670,joy
7671,anger
7672,joy
7673,joy
7674,joy
7675,joy
7676,joy
7677,joy
7678,joy
7679,joy
7680,joy
7681,joy
7682,joy
7683,joy
7684,joy
7685,joy
7686,joy
7687,joy
7688,joy
7689,joy
7690,sadness
7691,joy
7692,joy
7693,joy
7694,joy
7695,joy
7696,joy
7697,joy
7698,joy
7699,joy
7700,joy
7701,joy
7702,joy
7703,neutral
7704,joy
7705,joy
7706,joy
7707,neutral
7708,neutral
7709,joy
7710,joy
7711,joy
7712,joy
7713,sadness
7714,sadness
7715,joy
7716,joy
7717,joy
7718,joy
7719,neutral
7720,joy
7721,joy
7722,joy
7723,sadness
7724,joy
7725,joy
7726,neutral
7727,sadness
7728,anger
7729,joy
7730,joy
7731,neutral
7732,joy
7733,joy
7734,joy
7735,joy
7736,joy
7737,joy
7738,joy
7739,joy
7740,joy
7741,joy
7742,joy
7743,neutral
7744,joy
7745,joy
7746,joy
7747,joy
7748,joy
7749,joy
7750,joy
7751,joy
7752,joy
7753,joy
7754,joy
7755,joy
7756,joy
7757,sadness
7758,joy
7759,joy
7760,joy
7761,joy
7762,joy
7763,joy
7764,joy
7765,neutral
7766,joy
7767,joy
7768,joy
7769,joy
7770,joy
7771,joy
7772,joy
7773,joy
7774,joy
7775,joy
7776,joy
7777,joy
7778,joy
7779,joy
7780,sadness
7781,disgust
7782,joy
7783,joy
7784,joy
7785,joy
7786,joy
7787,joy
7788,joy
7789,joy
7790,neutral
7791,joy
7792,joy
7793,joy
7794,joy
7795,joy
7796,sadness
7797,joy
7798,joy
7799,joy
7800,neutral
7801,joy
7802,joy
7803,joy
7804,joy
7805,joy
7806,joy
7807,neutral
7808,sadness
7809,joy
7810,joy
7811,joy
7812,joy
7813,joy
7814,neutral
7815,joy
7816,joy
7817,neutral
7818,joy
7819,joy
7820,anger
7821,joy
7822,joy
7823,joy
7824,joy
7825,joy
7826,joy
7827,neutral
7828,joy
7829,joy
7830,disgust
7831,joy
7832,joy
7833,joy
7834,joy
7835,joy
7836,joy
7837,joy
7838,joy
7839,joy
7840,neutral
7841,joy
7842,joy
7843,neutral
7844,neutral
7845,joy
7846,joy
7847,joy
7848,joy
7849,joy
7850,neutral
7851,joy
7852,disgust
7853,joy
7854,joy
7855,joy
7856,neutral
7857,joy
7858,joy
7859,joy
7860,neutral
7861,joy
7862,sadness
7863,joy
7864,joy
7865,joy
