,emotion
624,joy
625,neutral
626,joy
627,joy
628,joy
629,joy
630,sadness
631,joy
632,neutral
633,joy
634,sadness
635,joy
636,joy
637,joy
638,sadness
639,joy
640,joy
641,neutral
642,joy
643,joy
644,joy
645,neutral
646,joy
647,neutral
648,joy
649,joy
650,joy
651,joy
652,joy
653,joy
654,joy
655,joy
656,joy
657,joy
658,joy
659,joy
660,joy
661,joy
662,joy
663,neutral
664,joy
665,joy
666,joy
667,joy
668,joy
669,joy
670,joy
671,sadness
672,joy
673,joy
674,joy
675,joy
676,joy
677,disgust
678,joy
679,sadness
680,joy
681,joy
682,joy
683,joy
684,joy
685,joy
686,joy
687,joy
688,joy
689,joy
690,joy
691,joy
692,joy
693,joy
694,joy
695,joy
696,joy
697,joy
698,sadness
699,joy
700,joy
701,fear
702,joy
703,joy
704,joy
705,joy
706,joy
707,neutral
708,joy
709,neutral
710,disgust
711,joy
712,joy
713,anger
714,joy
715,joy
716,joy
717,joy
718,joy
719,joy
720,joy
721,joy
722,joy
723,sadness
724,joy
725,joy
726,joy
727,joy
728,joy
729,joy
730,joy
731,joy
732,neutral
733,joy
734,joy
735,joy
736,neutral
737,joy
738,joy
739,joy
740,sadness
741,joy
742,joy
743,sadness
744,joy
745,joy
746,joy
747,joy
748,joy
749,joy
750,joy
751,joy
752,joy
753,joy
754,joy
755,joy
756,joy
757,neutral
758,sadness
759,sadness
760,joy
761,joy
762,joy
763,joy
764,joy
765,joy
766,neutral
767,joy
768,joy
769,joy
770,joy
771,joy
772,joy
773,joy
774,joy
775,joy
776,neutral
777,joy
778,joy
779,joy
780,joy
781,joy
782,joy
783,joy
784,joy
785,joy
786,joy
787,joy
788,joy
789,sadness
790,neutral
791,joy
792,joy
793,joy
794,joy
795,fear
796,joy
797,joy
798,joy
799,joy
800,neutral
801,joy
802,joy
803,disgust
804,joy
805,joy
806,joy
807,joy
808,joy
809,sadness
810,joy
811,joy
812,joy
813,joy
814,joy
815,joy
816,joy
817,sadness
818,neutral
819,joy
820,joy
821,joy
822,joy
823,joy
824,joy
825,joy
826,joy
827,joy
828,joy
829,joy
830,joy
831,joy
832,joy
833,joy
834,joy
835,joy
836,joy
837,joy
838,joy
839,joy
840,joy
841,joy
842,joy
843,joy
844,joy
845,joy
846,joy
847,joy
848,joy
849,joy
850,joy
851,joy
852,joy
853,sadness
854,joy
855,joy
856,neutral
857,joy
858,joy
859,joy
860,joy
861,joy
862,joy
863,joy
864,joy
865,joy
866,joy
867,joy
868,joy
869,joy
870,joy
871,joy
872,neutral
873,joy
874,joy
875,joy
876,joy
877,joy
878,joy
879,neutral
880,fear
881,joy
882,joy
883,joy
884,joy
885,joy
886,joy
887,joy
888,joy
889,joy
890,joy
891,joy
892,joy
893,joy
894,joy
895,joy
896,joy
897,joy
898,joy
899,joy
900,joy
901,sadness
902,joy
903,joy
904,joy
905,joy
906,joy
907,joy
908,joy
909,joy
910,joy
911,joy
912,neutral
913,joy
914,joy
915,joy
916,joy
917,sadness
918,joy
919,joy
920,joy
921,joy
922,joy
923,joy
924,joy
925,joy
926,joy
927,joy
928,joy
929,joy
930,neutral
931,joy
932,joy
933,disgust
934,joy
935,joy
936,joy
937,joy
938,joy
939,joy
940,joy
941,joy
942,joy
943,joy
944,joy
945,joy
946,joy
947,sadness
948,joy
949,joy
950,joy
951,joy
952,sadness
953,joy
954,neutral
955,joy
956,joy
957,joy
958,joy
959,joy
960,neutral
961,joy
962,joy
963,joy
964,joy
965,joy
966,joy
967,joy
968,joy
969,joy
970,joy
971,joy
972,neutral
973,joy
974,joy
975,joy
976,joy
977,joy
978,joy
979,joy
980,joy
981,sadness
982,joy
983,joy
984,joy
985,joy
986,joy
987,joy
988,joy
989,joy
990,joy
991,joy
992,joy
993,joy
994,joy
995,joy
996,joy
997,joy
998,joy
999,joy
1000,joy
1001,joy
1002,joy
1003,joy
1004,joy
1005,joy
1006,neutral
1007,neutral
1008,joy
1009,joy
1010,joy
1011,joy
1012,joy
1013,joy
1014,joy
1015,joy
1016,joy
1017,joy
1018,disgust
1019,joy
1020,joy
1021,joy
1022,joy
1023,joy
1024,joy
1025,joy
1026,joy
1027,joy
1028,neutral
1029,joy
1030,joy
1031,joy
1032,joy
1033,neutral
1034,joy
1035,joy
1036,joy
1037,sadness
1038,joy
1039,anger
1040,joy
1041,disgust
1042,joy
1043,joy
1044,joy
1045,joy
1046,joy
1047,joy
1048,joy
1049,joy
1050,sadness
1051,joy
1052,joy
1053,joy
1054,joy
1055,sadness
1056,joy
1057,joy
1058,joy
1059,joy
1060,joy
1061,joy
1062,joy
1063,joy
1064,joy
1065,sadness
1066,joy
1067,joy
1068,joy
1069,joy
1070,joy
1071,joy
1072,neutral
1073,joy
1074,joy
1075,joy
1076,joy
1077,joy
1078,joy
1079,joy
1080,neutral
1081,anger
1082,joy
1083,joy
1084,joy
1085,joy
1086,joy
1087,joy
1088,sadness
1089,joy
1090,joy
1091,joy
1092,joy
1093,joy
1094,joy
1095,joy
1096,joy
1097,joy
1098,joy
1099,joy
1100,neutral
1101,anger
1102,joy
1103,joy
1104,joy
1105,joy
1106,joy
1107,sadness
1108,sadness
1109,joy
1110,joy
1111,joy
1112,joy
1113,joy
1114,joy
1115,joy
1116,joy
1117,joy
1118,joy
1119,joy
1120,joy
